radiant_win,duration,pre_game_duration,match_id,match_seq_num,tower_status_radiant,tower_status_dire,barracks_status_radiant,barracks_status_dire,cluster,first_blood_time,game_mode,radiant_score,dire_score,player_slot,team_number,team_slot,hero_id,item_0,item_1,item_2,item_3,item_4,item_5,backpack_0,backpack_1,backpack_2,item_neutral,kills,deaths,assists,last_hits,denies,gold_per_min,xp_per_min,level,net_worth,aghanims_scepter,aghanims_shard,moonshard,hero_damage,tower_damage,hero_healing,gold_spent,isRadiant,win,lose,total_gold,total_xp,kills_per_min,kda
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,0,0,0,2,50,1,73,125,116,127,11,0,12,306,10,5,16,172,9,587,718,20,17553,0,1,0,27372,4903,0,14510,TRUE,1,0,18118,22162,0.32397408207343414,4.33
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,1,0,1,37,180,218,0,36,229,108,0,0,0,288,9,4,22,118,0,513,561,17,14597,0,1,0,23387,6571,3299,14235,TRUE,1,0,15834,17316,0.2915766738660907,6.2
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,2,0,2,62,1107,181,231,42,108,0,0,16,0,675,3,5,23,68,4,560,668,19,17784,0,1,0,14110,1155,2581,13010,TRUE,1,0,17285,20618,0.097192225,4.33
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,3,0,3,86,100,232,1107,180,1,108,77,0,41,290,19,2,17,167,16,678,832,21,20506,0,0,0,32749,4354,0,17185,TRUE,1,0,20927,25681,0.6155507559395248,12
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,4,0,4,12,63,108,114,0,75,174,36,11,0,1076,8,4,20,197,10,613,722,20,18346,0,0,0,16386,7135,0,17445,TRUE,1,0,18921,22285,0.25917926565874727,5.6
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,128,1,0,39,41,63,98,77,534,16,0,0,0,288,7,7,8,113,6,410,513,17,11532,0,1,0,13386,0,0,10285,FALSE,0,1,12655,15834,0.2267818574514039,1.88
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,129,1,1,81,73,11,63,252,0,0,0,0,0,945,0,15,2,73,11,247,348,13,6015,0,0,0,7025,0,0,4895,FALSE,0,1,7624,10741,,0.13
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,130,1,2,33,42,22,21,244,1,180,38,23,0,290,2,11,7,59,0,306,369,14,7744,0,0,0,15991,0,0,8010,FALSE,0,1,9445,11389,0.064794816,0.75
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,131,1,3,31,36,42,180,102,215,0,0,0,375,288,3,9,11,34,0,273,329,13,7222,0,1,0,14820,0,195,7710,FALSE,0,1,8426,10155,0.097192225,1.4
TRUE,1852,90,7752630629,6528275865,2047,0,63,0,271,12,22,49,20,132,1,4,18,36,116,73,252,63,149,0,0,0,378,7,7,8,155,1,472,548,17,13153,0,0,0,17534,243,0,11790,FALSE,0,1,14569,16914,0.2267818574514039,1.88
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,0,0,0,64,254,40,108,100,231,77,0,0,0,300,3,9,12,57,2,692,1554,26,17856,0,1,0,21103,1214,589,17790,TRUE,0,1,18995,42657,0.1092896174863388,1.5
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,1,0,1,87,232,229,40,254,180,43,0,188,0,574,2,8,16,10,1,634,1593,27,15985,1,1,0,10064,428,0,17990,TRUE,0,1,17403,43727,0.072859745,2
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,2,0,2,56,116,263,98,168,63,141,0,0,0,309,10,8,7,116,14,1200,1961,28,27817,0,1,0,42914,1215,0,25820,TRUE,0,1,32940,53829,0.3642987249544627,1.89
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,3,0,3,104,108,600,116,141,220,127,0,0,0,362,7,10,14,108,8,1226,2420,30,28343,0,1,0,48173,1745,1564,30395,TRUE,0,1,33653,66429,0.2550091074681239,1.91
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,4,0,4,11,610,116,1,110,220,235,0,0,0,585,8,5,7,220,3,1313,2211,29,36378,1,1,0,26950,1528,0,35070,TRUE,0,1,36041,60691,0.29143897996357016,2.5
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,128,1,0,8,135,147,603,158,48,160,40,0,0,309,9,7,13,153,3,1629,2685,30,37409,1,1,0,46280,7952,12106,38640,FALSE,1,0,44716,73703,0.3278688524590164,2.75
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,129,1,1,88,231,204,116,96,1808,123,0,0,0,675,17,3,15,79,8,1566,2445,30,42806,0,1,0,37446,5127,2411,34225,FALSE,1,0,42986,67115,0.6193078324225866,8
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,130,1,2,105,250,180,223,40,42,226,1158,166,675,336,6,9,9,41,1,860,1471,26,23003,0,0,0,14602,551,0,19230,FALSE,1,0,23607,40378,0.2185792349726776,1.5
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,131,1,3,29,1,50,81,108,235,110,0,0,0,1160,1,6,16,51,4,829,1778,27,22504,0,1,0,14777,1777,4525,22845,FALSE,1,0,22756,48806,0.036429872,2.43
FALSE,1647,60,7752630632,6528328830,0,1926,0,63,181,87,23,30,40,132,1,4,54,208,50,151,147,137,168,0,0,0,309,6,5,15,171,1,1509,2370,30,40662,1,1,0,35445,18113,1166,32890,FALSE,1,0,41422,65056,0.2185792349726776,3.5
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,0,0,0,39,232,1107,48,100,123,34,0,0,0,364,2,7,6,110,6,770,1449,24,17800,0,0,0,9403,1330,0,15220,TRUE,0,1,17607,33133,0.087463557,1
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,1,0,1,126,63,147,252,149,24,77,60,0,0,1159,6,4,11,66,6,720,1215,22,15959,0,0,0,15628,1261,0,17065,TRUE,0,1,16464,27783,0.26239067055393583,3.4
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,2,0,2,74,48,1466,1,36,108,92,945,0,2093,364,4,7,7,78,10,742,1131,21,17567,0,0,0,24286,535,0,15880,TRUE,0,1,16967,25862,0.1749271137026239,1.38
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,3,0,3,11,63,249,75,26,147,116,0,0,0,1160,1,5,2,128,1,737,1209,22,17197,0,0,0,8606,1741,0,17575,TRUE,0,1,16852,27645,0.043731778425655975,0.5
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,4,0,4,7,63,9,36,108,100,1,4205,69,0,1168,7,7,6,79,1,731,1237,22,15967,0,1,0,16947,470,0,17600,TRUE,0,1,16715,28286,0.30612244897959184,1.63
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,128,1,0,2,208,127,600,48,114,226,0,11,34,364,9,3,9,92,7,1406,2032,27,32289,0,0,0,25168,7557,0,27535,FALSE,1,0,32150,46465,0.3935860058309038,4.5
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,129,1,1,14,267,176,600,108,48,119,0,0,0,825,9,9,15,71,3,1376,2517,29,31602,0,0,0,29964,3298,860,27500,FALSE,1,0,31464,57555,0.3935860058309038,2.4
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,130,1,2,87,180,1,254,256,40,108,235,0,0,336,6,4,15,17,2,1013,1961,27,20868,0,1,0,13194,1272,192,21825,FALSE,1,0,23163,44841,0.26239067055393583,4.2
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,131,1,3,84,96,108,235,65,180,600,0,0,0,300,3,2,16,73,3,1157,1621,25,27758,0,1,0,12697,1481,0,25420,FALSE,1,0,26456,37066,0.13119533527696792,6.33
FALSE,1372,60,7752630635,6528238147,0,1542,0,63,381,66,23,20,30,132,1,4,63,116,141,117,1466,263,63,309,0,36,361,3,2,16,147,4,1399,1641,25,31239,0,1,0,14444,18308,0,24450,FALSE,1,0,31990,37524,0.13119533527696792,6.33
FALSE,2839,90,7752630636,6528301013,0,1924,2,63,271,243,4,33,41,0,0,0,36,100,119,31,231,218,73,16,0,0,675,4,7,12,137,5,351,529,21,16356,0,1,0,20172,732,15582,15135,TRUE,0,1,16608,25030,0.084536809,2
FALSE,2839,90,7752630636,6528301013,0,1924,2,63,271,243,4,33,41,1,0,1,123,166,20,20,141,160,180,0,0,0,571,4,8,17,212,5,387,569,22,15092,0,0,0,30345,1007,0,15540,TRUE,0,1,18311,26923,0.084536809,2.33
FALSE,2839,90,7752630636,6528301013,0,1924,2,63,271,243,4,33,41,2,0,2,48,108,139,0,147,249,63,0,0,0,1168,7,7,7,384,1,577,780,25,24317,0,0,0,26559,4463,0,23350,TRUE,0,1,27301,36907,0.1479394152870729,1.75
